id,name,internalCode,quantity,model,size,principalCode,image_url
1,PANALES PARA BEBE HUGGIES NATURAL CARE PRIMEROS 100 DIAS TALLA PR PAQUETE 30 UNID,375804,30,9,8,x2000001,x2000001
2,PANALES PARA BEBE HUGGIES NATURAL CARE PRIMEROS 100 DIAS TALLA P PAQUETE 30 UNID,534674,30,9,2,x2000003,x2000003
3,PANALES PARA BEBE HUGGIES NATURAL CARE PRIMEROS 100 DIAS TALLA RN PAQUETE 60 UNID,546460,60,9,1,x2000004,x2000004
4,PANALES PARA BEBE PAMPERS JUEGOS Y SUENOS TALLA P PAQUETE 32 UNID,568073,32,13,2,x2000005,x2000005
5,PANALES PARA BEBE PAMPERS CONFORT SEC TALLA G PAQUETE 60 UNID,570583,60,13,4,x2000006,x2000006
6,PANALES PARA BEBE PAMPERS CONFORT SEC TALLA P PAQUETE 46 UNID,570584,46,13,2,x2000007,x2000007
7,PANALES PARA BEBE PAMPERS CONFORT SEC TALLA P PAQUETE 46UN,20130407,46,13,2,x2000007,x2000007
8,PANALES ECOLOGICOS PARA BEBE BIO BABY TALLA M PAQUETE 38 UNID,716173,38,18,3,x2000008,x2000008
9,PANALES ECOLOGICOS PARA BEBE BIO BABY TALLA G PAQUETE 38 UNID,716174,38,18,4,x2000009,x2000009
10,PANALES ECOLOGICOS PARA BEBE BIO BABY TALLA XG PAQUETE 34 UNID,716175,34,18,10,x2000010,x2000010
11,PANALES ECOLOGICOS PARA BEBE BIO BABY TALLA XXG PAQUETE 34 UNID,716176,34,18,6,x2000011,x2000011
12,PANALES HUGGIES ACTIVE SEC AJUSTE PERFECTO TALLA M PAQUETE 24 UNIDADES,727568,24,7,3,x2000012,x2000012
13,PANALES PARA BEBE PAMPERS CONFORT SEC TALLA XXG PAQUETE 44 UNID,735461,44,13,6,x2000013,x2000013
14,PANALES PARA BEBE PAMPERS PREMIUM CARE TALLA P PAQUETE 36 UNID,735462,36,14,2,x2000014,x2000014
15,PANALES PARA BEBE BABYSEC SUPER PREMIUM TALLA XG PAQUETE 92 UNID,738808,92,3,5,x2000015,x2000015
16,PANALES PARA BEBE BABYSEC PREMIUM TALLA XXG PAQUETE 84 UNID,738809,84,2,6,x2000016,x2000016
17,PANAL BABYSEC VOY AL AGUA TALLA G PAQUETE 11 UNIDADES,740985,11,4,4,x2000017,x2000017
18,PANALES PARA BEBE HUGGIES NATURAL CARE PRIMEROS 100 DIAS TALLA P PAQUETE 50 UNID,534673,50,9,2,x2000018,x2000018
19,PANALES PARA BEBE HUGGIES NATURAL CARE PRIMEROS 100 DIAS TALLA P PAQUETE 50UN,20062431,50,9,2,x2000018,x2000018
20,PANALES PARA BEBE HUGGIES LITTLE SWIMMERS TALLA G PAQUETE 10UN,20071392,10,8,4,x2000019,x2000019
21,PANALES PARA BEBE HUGGIES NATURAL CARE AUTOAJUSTABLE NINA TALLA XG PAQUETE 40UN,20110696,40,11,5,x2000020,x2000020
22,PANALES PARA BEBE HUGGIES NATURAL CARE AUTO AJUSTE NINO TALLA XG PAQUETE 40UN,20110702,40,12,5,x2000021,x2000021
23,PANALES PARA BEBE HUGGIES NATURAL CARE AJUSTE PERFECTO NINOS TALLA XG PAQUETE 40 UNID,535140003,40,12,5,x2000021,x2000021
24,PANALES PARA BEBE HUGGIES NATURAL CARE AUTO AJUSTE HIPER NINO TALLA XXG PAQUETE 36UN,20110704,36,12,6,x2000022,x2000022
25,PANALES PARA BEBE HUGGIES NATURAL CARE AJUSTE PERFECTO NINOS TALLA XXG PAQUETE 36 UNID,535140004,36,12,6,x2000022,x2000022
26,PANALES PARA BEBE HUGGIES NATURAL CARE NINO TALLA XG MEGAPACK PAQUETE 100UN,20126866,100,10,5,x2000023,x2000023
27,PANALES PARA BEBE HUGGIES NATURAL CARE NINA TALLA XG MEGAPACK PAQUETE 100UN,20126865,100,10,5,x2000023,x2000023
28,PANALES PARA BEBE PAMPERS PREMIUM CARE TALLA XXG PAQUETE 28UN,20129416,28,14,6,x2000024,x2000024
29,PANALES PARA BEBE PAMPERS PREMIUM CARE TALLA XXG PAQUETE 28 UNID,570586005,28,14,6,x2000024,x2000024
30,PANALES PARA BEBE HUGGIES NATURAL CARE NINO TALLA G MEGAPACK PAQUETE 112UN,20130647,112,10,4,x2000025,x2000025
31,PANALES PARA BEBE PAMPERS PREMIUM CARE TALLA XG MEGAPACK PAQUETE 60UN,20138539,60,14,5,x2000026,x2000026
32,PANALES PARA BEBE PAMPERS PREMIUM CARE TALLA XXG MEGAPACK PAQUETE 60UN,20138540,60,14,6,x2000027,x2000027
33,PANALES PARA BEBE BABYSEC PREMIUM TALLA XG SUPERPACK PAQUETE 104UN,20141310,104,2,5,x2000028,x2000028
34,PANALES PARA BEBE BABYSEC PREMIUM TALLA XG PAQUETE 104 UNID,717209001,104,2,5,x2000028,x2000028
35,PANALES PARA BEBE BABYSEC PREMIUM TALLA XXG SUPERPACK PAQUETE 96UN,20141311,96,2,6,x2000029,x2000029
36,PANALES PARA BEBE BABYSEC PREMIUM TALLA XXG PAQUETE 96 UNID,717209002,96,2,6,x2000029,x2000029
37,PANAL PARA BEBE BABYSEC SUPER PREMIUM CUIDADO TOTAL TALLA M PAQUETE 62UN,20144827,62,3,3,x2000030,x2000030
38,PANALES PARA BEBE BABYSEC SUPER PREMIUM TALLA M PAQUETE 62 UNID,575775002,62,3,3,x2000030,x2000030
39,PANALES PARA BEBE BABY SEC SUPER PREMIUM CUIDADO TOTAL TALLA XXG PAQUETE 42UN,20144830,42,3,6,x2000031,x2000031
40,PANALES PARA BEBE BABYSEC SUPER PREMIUM TALLA XXG PAQUETE 42 UNID,575775005,42,3,6,x2000031,x2000031
41,PANALES PARA BEBE BABYSEC PREMIUM SUPERPACK TALLA M PAQUETE 72UN,20145310,72,2,3,x2000032,x2000032
42,PANALES PARA BEBE BABYSEC PREMIUM TALLA M PAQUETE 72 UNID,477748001,72,2,3,x2000032,x2000032
43,PANALES PARA BEBE BABYSEC PREMIUM SUPERPACK TALLA G PAQUETE 64UN,20145311,64,2,4,x2000033,x2000033
44,PANALES PARA BEBE BABYSEC PREMIUM TALLA G PAQUETE 64 UNID,477748002,64,2,4,x2000033,x2000033
45,PANALES PARA BEBE HUGGIES NATURAL CARE NINO TALLA XG PAQUETE 42UN,20148264,42,10,5,x2000034,x2000034
46,PANALES PARA BEBE HUGGIES NATURAL CARE NINOS TALLA XG PAQUETE 42 UNID,727566001,42,10,5,x2000034,x2000034
47,PANALES PARA BEBE HUGGIES NATURAL CARE NINO TALLA XXG PAQUETE 38UN,20148265,38,10,6,x2000035,x2000035
48,PANALES PARA BEBE HUGGIES NATURAL CARE NINOS TALLA XXG PAQUETE 38 UNID,727566002,38,10,6,x2000035,x2000035
49,PANALES PARA BEBE HUGGIES NATURAL CARE TALLA XG PAQUETE 42UN,20148267,42,10,5,x2000036,x2000036
50,PANALES PARA BEBE HUGGIES NATURAL CARE NINAS TALLA XG PAQUETE 42 UNID,727565001,42,12,5,x2000036,x2000036
51,PANALES PARA BEBE HUGGIES ACTIVE SEC TALLA G PAQUETE 116UN,20159740,116,5,4,x2000037,x2000037
52,PANALES PARA BEBE HUGGIES ACTIVE SEC TALLA G PAQUETE 116 UNID,732128001,116,5,4,x2000037,x2000037
53,PANALES PARA BEBE HUGGIES ACTIVE SEC TALLA XXG PAQUETE 88UN,20159742,88,5,6,x2000038,x2000038
54,PANALES PARA BEBE HUGGIES ACTIVE SEC TALLA XXG PAQUETE 88 UNID,732128004,88,5,6,x2000038,x2000038
55,PANAL PARA BEBE BAMBO NATURE TALLA XXG,20160925,22,19,6,x2000039,x2000039
56,PANAL PARA BEBE BAMBO NATURE TALLA P,20160926,30,19,2,x2000040,x2000040
57,PANALES PARA BEBE BABYSEC PREMIUM TALLA XXG PAQUETE 48 UNID,477748004,48,2,6,x2000041,x2000041
58,PANALES PARA BEBE BABYSEC PREMIUM TALLA XXG SUPERPACK PAQUETE 48UN,20145312,48,2,6,x2000041,x2000041
59,PANALES PARA BEBE HUGGIES NATURAL CARE NINAS TALLA G PAQUETE 54 UNID,535137002,54,12,4,x2000042,x2000042
60,PANALES PARA BEBE HUGGIES NATURAL CARE NINOS TALLA G PAQUETE 54 UNID,535138002,54,10,4,x2000043,x2000043
61,PANALES PARA BEBE HUGGIES NATURAL CARE AJUSTE PERFECTO NINAS TALLA XXG PAQUETE 36 UNID,535139004,36,11,6,x2000044,x2000044
62,PANALES PARA BEBE HUGGIES NATURAL CARE AUTOAJUSTABLE NINA TALLA XXG PAQUETE 36UN,20110698,36,11,6,x2000044,x2000044
63,PANALES PARA BEBE PAMPERS JUEGOS Y SUENOS TALLA G PAQUETE 48 UNID,568094001,48,13,4,x2000047,x2000047
64,PANALES PARA BEBE PAMPERS JUEGOS Y SUENOS TALLA XG PAQUETE 42 UNID,568094002,42,13,5,x2000048,x2000048
65,PANALES PARA BEBE PAMPERS JUEGOS Y SUENOS TALLA XXG PAQUETE 40 UNID,568094004,40,13,6,x2000049,x2000049
66,PANALES PARA BEBE PAMPERS PREMIUM CARE TALLA G PAQUETE 34 UNID,570586003,34,14,4,x2000050,x2000050
67,PANALES PARA BEBE PAMPERS PREMIUM CARE TALLA G PAQUETE 34UN,20129414,34,14,4,x2000050,x2000050
68,PANALES PARA BEBE PAMPERS PREMIUM CARE TALLA XG PAQUETE 28 UNID,570586004,28,14,5,x2000051,x2000051
69,PANALES PARA BEBE PAMPERS CONFORT SEC TALLA G PAQUETE 34 UNID,570587002,34,13,4,x2000053,x2000053
70,PANALES PARA BEBE PAMPERS CONFORT SEC TALLA XXG PAQUETE 28 UNID,570587003,28,13,6,x2000054,x2000054
71,PANALES PARA BEBE PAMPERS CONFORT SEC TALLA XG PAQUETE 28 UNID,570587004,28,13,5,x2000055,x2000055
72,PANALES PARA BEBE PAMPERS CONFORT SEC TALLA M PAQUETE 72 UNID,570588001,72,13,3,x2000056,x2000056
73,PANALES PARA BEBE PAMPERS CONFORT SEC TALLA M PAQUETE 72UN,20129427,72,13,3,x2000056,x2000056
74,PANALES PARA BEBE PAMPERS CONFORT SEC TALLA XG PAQUETE 48 UNID,570588002,48,13,5,x2000057,x2000057
75,PANALES PARA BEBE PAMPERS CONFORT SEC TALLA XG PAQUETE 48UN,20129429,48,13,5,x2000057,x2000057
76,PANALES PARA BEBE BABYSEC SUPER PREMIUM TALLA P PAQUETE 68 UNID,575775001,68,3,2,x2000058,x2000058
77,PANALES PARA BEBE BABYSEC SUPER PREMIUM TALLA G PAQUETE 56 UNID,575775003,56,3,4,x2000060,x2000060
78,PANALES PARA BEBE BABYSEC SUPER PREMIUM TALLA XG PAQUETE 46 UNID,575775004,46,3,5,x2000061,x2000061
79,PANALES PARA BEBE NINET TALLA M PAQUETE 72 UNID,702188001,72,20,3,x2000063,x2000063
80,PANALES PARA BEBE NINET TALLA L PAQUETE 64 UNID,702188002,64,20,9,x2000064,x2000064
81,PANALES PARA BEBE NINET TALLA XL PAQUETE 52 UNID,702188003,52,20,10,x2000065,x2000065
82,PANALES PARA BEBE HUGGIES ACTIVE SEC TALLA M PAQUETE 64 UNID,717431001,64,5,3,x2000068,x2000068
83,PANALES PARA BEBE HUGGIES ACTIVE SEC TALLA G PAQUETE 58 UNID,717431002,58,5,4,x2000069,x2000069
84,PANALES PARA BEBE HUGGIES ACTIVE SEC TALLA XG PAQUETE 48 UNID,717431003,48,5,5,x2000070,x2000070
85,PANALES PARA BEBE HUGGIES ACTIVE SEC TALLA XXG PAQUETE 44 UNID,717431004,44,5,6,x2000071,x2000071
86,PANALES PARA BEBE HUGGIES NATURAL CARE NINAS TALLA XXG PAQUETE 38 UNID,727565002,38,12,6,x2000073,x2000073
87,PANALES PARA BEBE HUGGIES ACTIVE SEC AJUSTE PERFECTO TALLA G PAQUETE 28 UNID,727567002,28,7,4,x2000076,x2000076
88,PANALES PARA BEBE HUGGIES ACTIVE SEC AJUSTE PERFECTO TALLA XG PAQUETE 22 UNID,727569001,22,7,5,x2000077,x2000077
89,PANALES PARA BEBE HUGGIES ACTIVE SEC AJUSTE PERFECTO TALLA XXG PAQUETE 20 UNID,727569002,20,7,6,x2000078,x2000078
90,PANALES PARA BEBE HUGGIES ACTIVE SEC TALLA M PAQUETE 128 UNID,732128002,128,5,3,x2000080,x2000080
91,PANALES PARA BEBE HUGGIES ACTIVE SEC TALLA XG PAQUETE 96 UNID,732128003,96,5,5,x2000081,x2000081
92,PANALES PARA BEBE HUGGIES ACTIVE SEC AHORRA PACK TALLA XG PAQUETE 96UN,20159743,96,5,5,x2000081,x2000081
93,PANALES PARA BEBE HUGGIES NATURAL CARE UNISEX TALLA G PAQUETE 52 UNID,752967001,52,12,4,x2000083,x2000083
94,PANALES PARA BEBE HUGGIES NATURAL CARE UNISEX TALLA M PAQUETE 58 UNID,752967002,58,12,3,x2000084,x2000084
